order_id,customer_name,email,phone,city,country_code,plan,channel,signup_date,order_date,items,quantity,unit_price,discount_pct,tax,shipping,total_amount,support_tickets,satisfaction,churn_risk
ORD-10014,Customer 014,user014@example.com,+33612340014,Shanghai,BD,free,partner,2025-11-08,2026-05-26,2,5,126.58,0,113.92,8.89,755.71,3,4.3,0.74
ORD-10015,Customer 015,user015@example.com,+33612340015,Paris,FR,pro,referral,2025-05-07,2026-06-20,3,4,51.58,5,37.14,8.89,242.03,7,4.2,0.72
ORD-10016,Customer 016,user016@example.com,+33612340016,Antananarivo,CN,free,partner,2025-04-16,2026-05-20,1,6,229.4,0,247.75,2.01,1626.16,7,4.6,0.34
ORD-10017,Customer 017,user017@example.com,+33612340017,Shanghai,NO,enterprise,referral,2025-11-11,2026-01-26,4,2,201.06,0,72.38,22.74,497.24,7,2.6,0.95
ORD-10018,Customer 018,user018@example.com,+33612340018,Quito,NO,pro,mobile,2025-10-27,2026-05-16,3,3,44.54,0,24.05,0.69,158.36,2,3.2,0.13
ORD-10019,Customer 019,user019@example.com,+33612340019,Dhaka,ES,free,mobile,2025-04-01,2026-03-07,3,1,192.75,15,34.7,16.24,214.78,3,4.1,0.33
ORD-10020,Customer 020,user020@example.com,+33612340020,Nairobi,NO,pro,referral,2025-09-05,2026-05-05,5,9,103.18,0,167.15,1.52,1097.29,0,4.5,0.78
ORD-10021,Customer 021,user021@example.com,+33612340021,Oslo,EC,pro,web,2025-06-22,2026-05-17,5,1,187.26,0,33.71,4.31,225.28,7,4.1,0.11
ORD-10022,Customer 022,user022@example.com,+33612340022,Antananarivo,BD,free,web,2025-02-15,2026-03-20,5,9,17.88,0,28.97,6.92,196.81,3,3.8,0.45
ORD-10023,Customer 023,user023@example.com,+33612340023,Dhaka,GB,enterprise,mobile,2025-08-05,2026-04-04,4,9,194.63,10,315.3,23.54,1915.34,7,2.3,0.67
ORD-10024,Customer 024,user024@example.com,+33612340024,Antananarivo,ES,enterprise,partner,2025-03-09,2026-02-15,2,7,21.72,15,27.37,7.57,164.17,1,2.6,0.49
ORD-10025,Customer 025,user025@example.com,+33612340025,Lima,KE,free,partner,2025-06-03,2026-06-12,1,4,42.53,5,30.62,24.85,217.08,5,3.2,0.44
ORD-10026,Customer 026,user026@example.com,+33612340026,Dhaka,MG,free,mobile,2025-02-03,2026-03-09,1,1,95.01,10,17.1,15.6,118.21,2,2.1,0.13
ORD-10027,Customer 027,user027@example.com,+33612340027,London,PE,free,referral,2025-12-11,2026-01-09,1,7,204.58,15,257.77,20.47,1495.49,2,2.7,0.07
ORD-10028,Customer 028,user028@example.com,+33612340028,Quito,CN,free,web,2025-08-01,2026-03-18,4,1,153.91,20,27.7,6.51,157.34,4,3.5,0.04
ORD-10029,Customer 029,user029@example.com,+33612340029,Madrid,CN,enterprise,partner,2025-09-25,2026-02-10,4,4,225.43,0,162.31,6.55,1070.58,2,2.1,0.8
ORD-10030,Customer 030,user030@example.com,+33612340030,Dhaka,CN,free,mobile,2025-08-04,2026-06-27,4,5,13.2,0,11.88,18.33,96.21,7,3.2,0.89
ORD-10031,Customer 031,user031@example.com,+33612340031,Nairobi,CN,pro,mobile,2025-07-12,2026-01-27,2,9,76.98,0,124.71,24.56,842.09,0,1.3,0.74
ORD-10032,Customer 032,user032@example.com,+33612340032,Lima,BD,pro,partner,2025-10-08,2026-06-10,1,5,105.94,0,95.35,2.11,627.16,7,1.7,0.27
ORD-10033,Customer 033,user033@example.com,+33612340033,Dhaka,KE,free,partner,2025-04-12,2026-02-01,3,1,66.49,0,11.97,24.32,102.78,6,1.3,0.28
ORD-10034,Customer 034,user034@example.com,+33612340034,London,MG,free,web,2025-07-01,2026-03-10,2,4,62.95,20,45.32,0.12,246.88,1,3.3,0.53
ORD-10035,Customer 035,user035@example.com,+33612340035,Quito,PE,pro,referral,2025-03-10,2026-06-20,2,3,159.35,15,86.05,19.6,511.99,0,4.3,0.72
ORD-10036,Customer 036,user036@example.com,+33612340036,Dhaka,ES,enterprise,web,2025-11-19,2026-07-23,2,9,152.24,15,246.63,17.53,1428.8,1,1.1,0.13
ORD-10037,Customer 037,user037@example.com,+33612340037,Dhaka,FR,pro,mobile,2025-08-09,2026-01-15,1,6,230.47,5,248.91,20.9,1583.49,1,3.6,0.07
ORD-10038,Customer 038,user038@example.com,+33612340038,Shanghai,CN,free,referral,2025-08-28,2026-04-03,4,8,63.89,0,92.0,21.15,624.27,4,4.1,0.62
ORD-10039,Customer 039,user039@example.com,+33612340039,London,EC,pro,web,2025-08-02,2026-04-09,1,4,22.74,0,16.37,8.29,115.62,3,3.7,0.29
ORD-10040,Customer 040,user040@example.com,+33612340040,Antananarivo,BD,free,web,2025-08-01,2026-03-15,1,9,71.75,5,116.23,11.66,741.35,7,5.0,0.39
ORD-10041,Customer 041,user041@example.com,+33612340041,Dhaka,GB,enterprise,mobile,2025-10-27,2026-06-17,3,4,22.07,0,15.89,3.54,107.71,1,3.8,0.23
ORD-10042,Customer 042,user042@example.com,+33612340042,Oslo,NO,free,mobile,2025-07-12,2026-04-11,1,8,97.31,0,140.13,0.09,918.7,5,1.0,0.75
ORD-10043,Customer 043,user043@example.com,+33612340043,London,GB,free,referral,2025-07-28,2026-05-03,3,7,32.77,0,41.29,17.83,288.51,6,4.0,0.85
ORD-10044,Customer 044,user044@example.com,+33612340044,Madrid,CN,enterprise,referral,2025-09-11,2026-02-25,3,5,28.45,20,25.61,16.55,155.96,6,4.5,0.81
ORD-10045,Customer 045,user045@example.com,+33612340045,Antananarivo,FR,enterprise,referral,2025-08-20,2026-07-05,3,7,219.61,10,276.71,13.73,1673.98,7,1.2,0.93
ORD-10046,Customer 046,user046@example.com,+33612340046,London,GB,pro,partner,2025-07-21,2026-02-10,4,3,44.71,5,24.14,8.59,160.15,6,1.5,0.64
ORD-10047,Customer 047,user047@example.com,+33612340047,Shanghai,NO,enterprise,referral,2025-07-05,2026-05-07,2,2,53.45,20,19.24,12.43,117.19,1,1.7,0.56
ORD-10048,Customer 048,user048@example.com,+33612340048,Shanghai,FR,pro,referral,2025-07-14,2026-06-17,2,6,60.81,0,65.67,20.23,450.76,6,2.1,0.75
ORD-10049,Customer 049,user049@example.com,+33612340049,Dhaka,BD,pro,mobile,2025-02-09,2026-02-13,4,8,69.86,0,100.6,3.15,662.63,7,2.7,0.31
ORD-10050,Customer 050,user050@example.com,+33612340050,Oslo,EC,free,web,2025-07-27,2026-05-28,4,1,34.47,5,6.2,17.74,56.69,7,2.0,0.11
ORD-10051,Customer 051,user051@example.com,+33612340051,Oslo,MG,free,web,2025-01-26,2026-02-08,5,3,40.31,15,21.77,2.72,127.28,0,3.6,0.3
ORD-10052,Customer 052,user052@example.com,+33612340052,Antananarivo,MG,free,mobile,2025-07-09,2026-02-26,5,3,152.03,10,82.1,15.91,508.49,0,1.0,0.3
ORD-10053,Customer 053,user053@example.com,+33612340053,Shanghai,NO,free,mobile,2025-01-14,2026-06-21,3,8,70.11,0,100.96,16.11,677.95,0,1.1,0.5
ORD-10054,Customer 054,user054@example.com,+33612340054,Nairobi,CN,free,partner,2025-12-14,2026-03-22,4,7,23.6,0,29.74,16.68,211.62,3,1.0,0.29
ORD-10055,Customer 055,user055@example.com,+33612340055,London,CN,free,mobile,2025-05-25,2026-03-04,5,9,20.38,5,33.02,24.25,231.52,7,3.4,0.9
ORD-10056,Customer 056,user056@example.com,+33612340056,Quito,ES,enterprise,web,2025-04-01,2026-05-05,4,8,102.71,15,147.9,1.41,847.74,0,3.8,0.18
ORD-10057,Customer 057,user057@example.com,+33612340057,Antananarivo,ES,free,mobile,2025-11-17,2026-06-15,1,8,216.02,0,311.07,18.32,2057.55,4,3.7,0.38
ORD-10058,Customer 058,user058@example.com,+33612340058,Paris,MG,free,partner,2025-07-04,2026-05-25,2,6,236.46,5,255.38,4.23,1607.43,6,2.4,0.82
ORD-10059,Customer 059,user059@example.com,+33612340059,Nairobi,BD,enterprise,mobile,2025-06-12,2026-06-16,1,7,25.17,15,31.71,11.84,193.31,6,2.0,0.63
ORD-10060,Customer 060,user060@example.com,+33612340060,Paris,GB,free,web,2025-10-11,2026-03-09,3,7,14.07,0,17.73,11.6,127.82,0,2.0,0.72
ORD-10061,Customer 061,user061@example.com,+33612340061,Quito,MG,free,mobile,2025-02-16,2026-06-15,4,6,222.16,0,239.93,0.09,1572.98,4,4.7,0.81
ORD-10062,Customer 062,user062@example.com,+33612340062,London,ES,pro,partner,2025-06-15,2026-03-26,5,3,223.07,0,120.46,0.22,789.89,1,3.0,0.39
ORD-10063,Customer 063,user063@example.com,+33612340063,Oslo,BD,free,mobile,2025-07-04,2026-01-09,5,3,62.74,0,33.88,16.24,238.34,1,1.8,0.42
ORD-10064,Customer 064,user064@example.com,+33612340064,Quito,CN,pro,web,2025-05-10,2026-03-19,3,8,45.29,0,65.22,10.42,437.96,5,2.0,0.26
ORD-10065,Customer 065,user065@example.com,+33612340065,London,EC,free,web,2025-07-09,2026-02-17,5,8,62.77,0,90.39,5.89,598.44,3,3.6,0.1
ORD-10066,Customer 066,user066@example.com,+33612340066,Shanghai,NO,enterprise,web,2025-05-08,2026-01-02,2,8,237.87,0,342.53,0.11,2245.6,3,4.7,0.37
ORD-10067,Customer 067,user067@example.com,+33612340067,Paris,MG,pro,partner,2025-04-02,2026-03-11,2,3,110.27,0,59.55,19.37,409.73,0,1.8,0.25
ORD-10068,Customer 068,user068@example.com,+33612340068,Nairobi,ES,pro,web,2025-04-02,2026-07-16,5,4,196.37,20,141.39,8.18,777.95,7,1.3,0.1
ORD-10069,Customer 069,user069@example.com,+33612340069,Antananarivo,ES,free,partner,2025-07-10,2026-06-10,4,7,160.88,0,202.71,15.98,1344.85,0,2.2,0.57
ORD-10070,Customer 070,user070@example.com,+33612340070,Nairobi,CN,free,referral,2025-04-01,2026-04-06,4,6,102.02,0,110.18,21.61,743.91,1,4.3,0.41
ORD-10071,Customer 071,user071@example.com,+33612340071,Paris,BD,free,referral,2025-02-19,2026-05-12,5,6,113.04,0,122.08,3.25,803.57,2,1.6,0.28
ORD-10072,Customer 072,user072@example.com,+33612340072,Oslo,CN,free,web,2025-08-11,2026-01-20,4,9,44.96,0,72.84,2.72,480.2,1,4.6,0.62
ORD-10073,Customer 073,user073@example.com,+33612340073,Lima,EC,pro,referral,2025-03-19,2026-02-02,4,3,155.3,20,83.86,5.55,462.13,2,2.5,0.12
ORD-10074,Customer 074,user074@example.com,+33612340074,Paris,BD,pro,web,2025-11-27,2026-03-04,4,4,233.1,20,167.83,22.43,936.18,7,3.2,0.63
ORD-10075,Customer 075,user075@example.com,+33612340075,Lima,PE,pro,referral,2025-09-15,2026-02-01,1,5,157.35,0,141.61,14.57,942.93,7,2.9,0.45
ORD-10076,Customer 076,user076@example.com,+33612340076,Antananarivo,MG,free,referral,2025-06-03,2026-07-15,5,8,201.51,20,290.17,11.83,1591.66,0,1.2,0.13
ORD-10077,Customer 077,user077@example.com,+33612340077,Dhaka,PE,pro,mobile,2025-01-28,2026-01-20,1,6,187.63,10,202.64,2.0,1217.84,3,1.5,0.89
ORD-10078,Customer 078,user078@example.com,+33612340078,Shanghai,MG,pro,partner,2025-03-11,2026-05-09,4,5,229.79,20,206.81,4.13,1130.1,2,2.0,0.96
ORD-10079,Customer 079,user079@example.com,+33612340079,Shanghai,KE,free,mobile,2025-03-13,2026-02-21,3,8,53.56,0,77.13,15.4,521.01,5,4.6,0.17
ORD-10080,Customer 080,user080@example.com,+33612340080,Nairobi,NO,free,web,2025-05-18,2026-06-28,4,5,31.6,10,28.44,1.21,171.85,5,2.1,0.99
ORD-10081,Customer 081,user081@example.com,+33612340081,Shanghai,ES,pro,web,2025-05-27,2026-05-09,3,3,89.34,20,48.24,2.03,264.69,5,3.9,0.75
ORD-10082,Customer 082,user082@example.com,+33612340082,Lima,BD,free,web,2025-03-16,2026-02-20,1,4,39.68,10,28.57,15.64,187.06,0,1.2,0.57
ORD-10083,Customer 083,user083@example.com,+33612340083,Lima,EC,free,mobile,2025-04-12,2026-05-27,4,5,29.55,0,26.59,13.35,187.69,2,1.5,0.94
ORD-10084,Customer 084,user084@example.com,+33612340084,Madrid,GB,free,partner,2025-01-02,2026-06-27,5,4,171.11,5,123.2,2.4,775.82,5,3.4,0.58
ORD-10085,Customer 085,user085@example.com,+33612340085,Paris,FR,free,web,2025-07-06,2026-02-06,1,9,177.24,0,287.13,4.13,1886.42,1,1.0,0.55
ORD-10086,Customer 086,user086@example.com,+33612340086,Dhaka,PE,pro,mobile,2025-09-10,2026-01-10,1,4,38.0,0,27.36,12.96,192.32,7,3.9,0.01
ORD-10087,Customer 087,user087@example.com,+33612340087,Oslo,ES,free,web,2025-05-08,2026-06-02,1,7,179.99,5,226.79,2.01,1425.73,5,4.6,0.93
ORD-10088,Customer 088,user088@example.com,+33612340088,Lima,BD,enterprise,partner,2025-11-07,2026-01-17,1,5,172.1,0,154.89,15.9,1031.29,2,2.0,0.24
ORD-10089,Customer 089,user089@example.com,+33612340089,Shanghai,PE,free,mobile,2025-07-28,2026-06-23,5,4,226.98,15,163.43,22.87,958.03,7,2.9,0.53
ORD-10090,Customer 090,user090@example.com,+33612340090,Shanghai,EC,pro,mobile,2025-07-20,2026-05-03,5,1,206.45,5,37.16,23.89,257.18,2,1.6,0.03
ORD-10091,Customer 091,user091@example.com,+33612340091,Madrid,FR,free,mobile,2025-12-21,2026-06-02,1,2,150.97,0,54.35,8.62,364.91,0,1.3,0.59
ORD-10092,Customer 092,user092@example.com,+33612340092,Antananarivo,PE,free,mobile,2025-04-04,2026-01-02,1,6,51.44,20,55.56,13.35,315.82,4,2.9,0.13
ORD-10093,Customer 093,user093@example.com,+33612340093,Paris,KE,free,partner,2025-01-23,2026-07-12,3,4,73.85,0,53.17,10.59,359.16,7,4.4,0.62
ORD-10094,Customer 094,user094@example.com,+33612340094,Antananarivo,KE,free,web,2025-09-19,2026-02-23,1,1,190.32,0,34.26,10.91,235.49,4,1.7,0.0
ORD-10095,Customer 095,user095@example.com,+33612340095,Paris,KE,free,referral,2025-12-26,2026-07-06,4,4,72.4,20,52.13,24.45,308.26,5,4.8,0.52
ORD-10096,Customer 096,user096@example.com,+33612340096,Shanghai,NO,free,web,2025-08-26,2026-06-18,1,3,71.32,0,38.51,23.46,275.93,5,2.4,0.4
ORD-10097,Customer 097,user097@example.com,+33612340097,Paris,KE,free,partner,2025-07-18,2026-05-06,4,7,214.53,15,270.31,2.15,1548.91,3,4.8,0.13
ORD-10098,Customer 098,user098@example.com,+33612340098,Oslo,BD,pro,mobile,2025-08-15,2026-06-25,3,1,86.57,0,15.58,13.04,115.19,3,1.5,0.46
ORD-10099,Customer 099,user099@example.com,+33612340099,Quito,ES,pro,mobile,2025-12-11,2026-05-17,3,4,124.06,0,89.32,7.54,593.1,2,1.9,0.96
ORD-10100,Customer 100,user100@example.com,+33612340100,Madrid,MG,free,mobile,2025-03-26,2026-03-24,3,5,234.15,15,210.73,24.87,1230.74,6,2.1,0.11
ORD-10101,Customer 101,user101@example.com,+33612340101,Paris,PE,pro,referral,2025-12-08,2026-05-21,3,2,70.63,5,25.43,11.6,171.23,7,1.1,0.26
ORD-10102,Customer 102,user102@example.com,+33612340102,Lima,EC,pro,referral,2025-04-22,2026-06-21,5,7,5.8,0,7.31,22.7,70.61,3,3.7,0.64
ORD-10103,Customer 103,user103@example.com,+33612340103,Antananarivo,PE,free,referral,2025-12-23,2026-06-06,3,8,106.36,0,153.16,15.71,1019.75,6,2.9,0.02
ORD-10104,Customer 104,user104@example.com,+33612340104,Madrid,KE,pro,referral,2025-08-04,2026-01-09,5,7,126.55,15,159.45,23.25,935.67,3,1.6,0.78
ORD-10105,Customer 105,user105@example.com,+33612340105,Oslo,BD,free,referral,2025-09-01,2026-06-26,3,4,126.78,0,91.28,21.18,619.58,5,2.6,0.95
ORD-10106,Customer 106,user106@example.com,+33612340106,Antananarivo,EC,free,web,2025-05-09,2026-04-13,1,4,237.71,0,171.15,9.81,1131.8,0,1.3,0.92
ORD-10107,Customer 107,user107@example.com,+33612340107,Lima,BD,enterprise,referral,2025-08-07,2026-02-05,1,6,141.13,0,152.42,5.61,1004.81,3,2.9,0.56
ORD-10108,Customer 108,user108@example.com,+33612340108,Lima,NO,enterprise,mobile,2025-08-12,2026-07-28,2,4,196.35,0,141.37,8.83,935.6,4,3.8,0.69
ORD-10109,Customer 109,user109@example.com,+33612340109,London,KE,free,partner,2025-06-16,2026-04-14,5,7,164.36,5,207.09,0.07,1300.15,1,3.6,0.36
ORD-10110,Customer 110,user110@example.com,+33612340110,Quito,KE,pro,mobile,2025-09-27,2026-03-21,5,5,205.72,0,185.15,2.13,1215.88,0,3.6,0.21
ORD-10111,Customer 111,user111@example.com,+33612340111,Quito,ES,pro,mobile,2025-08-12,2026-07-05,2,2,158.98,0,57.23,15.21,390.4,6,4.2,0.17
ORD-10112,Customer 112,user112@example.com,+33612340112,London,CN,free,mobile,2025-09-03,2026-06-27,4,2,161.92,10,58.29,19.7,369.45,1,3.2,0.26
ORD-10113,Customer 113,user113@example.com,+33612340113,Paris,NO,free,mobile,2025-12-16,2026-02-16,2,4,199.27,5,143.47,12.33,913.03,0,1.6,0.32
ORD-10114,Customer 114,user114@example.com,+33612340114,Lima,PE,enterprise,web,2025-03-21,2026-03-21,1,8,161.18,20,232.1,11.64,1275.29,0,3.4,0.68
ORD-10115,Customer 115,user115@example.com,+33612340115,Oslo,ES,free,referral,2025-11-05,2026-03-04,3,6,194.93,0,210.52,12.77,1392.87,5,2.9,0.53
ORD-10116,Customer 116,user116@example.com,+33612340116,Dhaka,FR,pro,partner,2025-06-27,2026-04-13,3,4,71.42,0,51.42,10.56,347.66,4,4.5,0.34
ORD-10117,Customer 117,user117@example.com,+33612340117,Shanghai,KE,pro,mobile,2025-10-21,2026-01-26,1,4,158.65,20,114.23,2.95,624.86,6,3.9,0.89
ORD-10118,Customer 118,user118@example.com,+33612340118,Paris,FR,free,referral,2025-10-25,2026-06-02,5,9,139.69,5,226.3,7.51,1428.16,6,3.5,0.63
ORD-10119,Customer 119,user119@example.com,+33612340119,Madrid,MG,pro,web,2025-07-25,2026-01-21,1,2,54.54,15,19.63,15.84,128.19,5,4.5,0.14
ORD-10120,Customer 120,user120@example.com,+33612340120,Madrid,PE,free,web,2025-07-19,2026-06-19,1,5,136.87,0,123.18,21.56,829.09,7,3.3,0.04
ORD-10121,Customer 121,user121@example.com,+33612340121,Lima,NO,free,referral,2025-10-19,2026-06-05,4,2,186.72,5,67.22,14.38,436.37,6,3.2,0.08
ORD-10122,Customer 122,user122@example.com,+33612340122,Lima,FR,free,web,2025-02-07,2026-07-04,2,8,54.49,0,78.47,15.67,530.06,7,1.1,0.72
ORD-10123,Customer 123,user123@example.com,+33612340123,Paris,KE,pro,mobile,2025-12-25,2026-01-10,5,4,110.66,15,79.68,4.69,460.61,7,2.8,0.93
ORD-10124,Customer 124,user124@example.com,+33612340124,Paris,FR,free,web,2025-07-10,2026-03-24,5,5,219.63,0,197.67,17.93,1313.75,2,4.8,0.83
ORD-10125,Customer 125,user125@example.com,+33612340125,Oslo,ES,free,web,2025-06-21,2026-02-21,4,1,78.98,10,14.22,18.19,103.49,7,2.5,0.79
ORD-10126,Customer 126,user126@example.com,+33612340126,London,FR,pro,partner,2025-10-24,2026-01-27,2,5,189.28,10,170.35,8.35,1030.46,4,3.3,0.98
ORD-10127,Customer 127,user127@example.com,+33612340127,Shanghai,NO,free,web,2025-06-09,2026-03-14,2,4,93.21,15,67.11,9.4,393.42,0,2.2,0.14
ORD-10128,Customer 128,user128@example.com,+33612340128,Dhaka,NO,free,web,2025-09-18,2026-04-26,4,3,68.99,20,37.25,19.93,222.76,3,4.2,0.72
ORD-10129,Customer 129,user129@example.com,+33612340129,Oslo,CN,enterprise,web,2025-07-15,2026-05-03,5,4,77.38,0,55.71,16.94,382.17,5,4.1,0.23
ORD-10130,Customer 130,user130@example.com,+33612340130,Oslo,BD,pro,mobile,2025-04-07,2026-01-06,3,9,215.73,20,349.48,13.05,1915.79,5,3.3,0.36
ORD-10131,Customer 131,user131@example.com,+33612340131,Oslo,KE,pro,partner,2025-11-15,2026-07-03,2,9,206.31,0,334.22,1.11,2192.12,5,3.4,0.34
ORD-10132,Customer 132,user132@example.com,+33612340132,Quito,NO,pro,mobile,2025-05-25,2026-03-14,1,9,147.48,0,238.92,0.84,1567.08,7,4.1,0.82
ORD-10133,Customer 133,user133@example.com,+33612340133,Madrid,PE,free,web,2025-01-18,2026-03-28,4,3,64.32,0,34.73,8.47,236.16,7,4.8,0.91
ORD-10134,Customer 134,user134@example.com,+33612340134,Antananarivo,MG,free,mobile,2025-11-03,2026-06-17,4,2,207.73,15,74.78,9.93,437.85,2,2.8,0.16
ORD-10135,Customer 135,user135@example.com,+33612340135,London,KE,free,web,2025-01-09,2026-07-17,4,4,238.05,0,171.4,4.3,1127.9,0,1.4,0.32
ORD-10136,Customer 136,user136@example.com,+33612340136,Quito,EC,free,web,2025-08-11,2026-03-09,4,1,225.72,15,40.63,18.71,251.2,1,2.5,0.38
ORD-10137,Customer 137,user137@example.com,+33612340137,Paris,NO,pro,mobile,2025-01-06,2026-07-08,1,8,60.66,0,87.35,22.86,595.49,5,4.6,0.14
ORD-10138,Customer 138,user138@example.com,+33612340138,Antananarivo,NO,enterprise,partner,2025-04-16,2026-01-21,3,8,230.1,5,331.34,21.06,2101.16,2,2.3,0.74
ORD-10139,Customer 139,user139@example.com,+33612340139,Oslo,ES,free,referral,2025-04-05,2026-01-09,5,3,172.58,10,93.19,22.23,581.39,4,2.3,0.17
ORD-10140,Customer 140,user140@example.com,+33612340140,Antananarivo,ES,enterprise,web,2025-11-26,2026-06-07,5,8,30.23,5,43.53,22.58,295.86,7,4.3,0.12
ORD-10141,Customer 141,user141@example.com,+33612340141,Shanghai,CN,free,partner,2025-07-06,2026-01-27,3,4,233.1,5,167.83,24.78,1078.39,2,4.9,0.02
ORD-10142,Customer 142,user142@example.com,+33612340142,Dhaka,GB,free,referral,2025-01-14,2026-02-09,5,9,84.78,0,137.34,11.08,911.44,2,1.6,0.18
ORD-10143,Customer 143,user143@example.com,+33612340143,Antananarivo,EC,pro,partner,2025-03-07,2026-02-20,2,4,172.09,0,123.9,15.02,827.28,4,1.8,0.07
ORD-10144,Customer 144,user144@example.com,+33612340144,Dhaka,KE,free,referral,2025-02-01,2026-04-25,4,9,100.61,15,162.99,22.91,955.57,2,4.5,0.27
ORD-10145,Customer 145,user145@example.com,+33612340145,Nairobi,EC,pro,web,2025-06-17,2026-04-17,1,3,137.12,0,74.04,0.92,486.32,1,2.4,0.24
ORD-10146,Customer 146,user146@example.com,+33612340146,Paris,GB,pro,referral,2025-08-17,2026-01-17,5,6,187.98,20,203.02,9.53,1114.85,2,1.1,0.97
ORD-10147,Customer 147,user147@example.com,+33612340147,London,BD,pro,web,2025-01-04,2026-06-24,2,4,150.29,0,108.21,2.57,711.94,4,1.1,0.6
ORD-10148,Customer 148,user148@example.com,+33612340148,Nairobi,MG,pro,web,2025-05-04,2026-04-16,5,8,127.65,15,183.82,11.11,1062.95,4,1.4,0.12
ORD-10149,Customer 149,user149@example.com,+33612340149,Madrid,EC,free,referral,2025-03-27,2026-01-21,4,3,132.05,0,71.31,21.53,488.99,6,3.4,0.6
ORD-10150,Customer 150,user150@example.com,+33612340150,Nairobi,PE,free,partner,2025-12-14,2026-07-19,3,1,97.67,0,17.58,19.42,134.67,6,4.4,0.05
ORD-10151,Customer 151,user151@example.com,+33612340151,Shanghai,PE,pro,web,2025-06-04,2026-05-06,1,9,39.03,15,63.23,23.36,385.17,5,2.7,0.5
ORD-10152,Customer 152,user152@example.com,+33612340152,Oslo,FR,pro,web,2025-01-28,2026-06-20,3,1,57.6,5,10.37,24.24,89.33,4,3.5,0.81
ORD-10153,Customer 153,user153@example.com,+33612340153,Paris,PE,free,web,2025-05-04,2026-03-12,2,1,150.81,0,27.15,3.04,181.0,1,1.2,0.96
ORD-10154,Customer 154,user154@example.com,+33612340154,Dhaka,ES,free,mobile,2025-05-14,2026-05-10,3,9,216.78,0,351.18,11.66,2313.86,3,3.9,0.74
ORD-10155,Customer 155,user155@example.com,+33612340155,Shanghai,PE,free,partner,2025-08-18,2026-03-20,4,5,202.26,10,182.03,17.37,1109.57,7,4.3,0.03
ORD-10156,Customer 156,user156@example.com,+33612340156,Quito,PE,free,partner,2025-03-28,2026-02-11,5,6,56.68,10,61.21,13.65,380.93,5,3.0,0.28
ORD-10157,Customer 157,user157@example.com,+33612340157,Dhaka,MG,pro,partner,2025-08-22,2026-01-17,4,4,74.09,20,53.34,0.54,290.97,7,2.4,0.76
ORD-10158,Customer 158,user158@example.com,+33612340158,Madrid,PE,free,partner,2025-03-22,2026-02-20,5,9,57.53,15,93.2,18.47,551.77,4,4.3,0.52
ORD-10159,Customer 159,user159@example.com,+33612340159,Madrid,PE,pro,web,2025-07-25,2026-05-19,1,8,67.77,15,97.59,17.71,576.14,7,2.6,0.99
ORD-10160,Customer 160,user160@example.com,+33612340160,Quito,EC,free,referral,2025-12-15,2026-03-24,3,3,102.92,20,55.58,6.98,309.57,4,2.4,0.53
